code,name,details,specs,imageUrl,price,SOH
SEP0051,WATERBAR  PVC 30CM X 20M,ALUMINIUM  VENTILATOR HOSE 9 METER,WATERBAR (WATERSTOP) PVC 30CM X 20M,/Home/Image/18057,3132.00,200
SEP0052,WATERBAR  PVC 30CM X 20M,AMIG DOOR HANDLE 1500,WATERBAR (WATERSTOP) PVC 30CM X 20M,/Home/Image/18057,3132.00,200
SEP0053,WATERBAR  PVC 30CM X 20M,CROCODILE TILE LEVELING SYSTEM FOR PORCELAIN & MARBLE,WATERBAR (WATERSTOP) PVC 30CM X 20M,/Home/Image/18057,3132.00,200
SEP0054,VOREL GROUTING GUN 660MM,SELLEYS SILICONE CAULKING GUN,VOREL GROUTING GUN 660MM #04450,/Home/Image/18055,205.20,200
SEP0055,VOREL GROUTING GUN 660MM,CROCODILE CAULKING GUN,VOREL GROUTING GUN 660MM #04450,/Home/Image/18055,205.20,200
SEP0056,VOREL GROUTING GUN 660MM,CROCODILE SAUSAGE GUN,VOREL GROUTING GUN 660MM #04450,/Home/Image/18055,205.20,200
SEP0057,VOREL GROUTING GUN 660MM,WEICON DISPENSER EASY MIX D50,VOREL GROUTING GUN 660MM #04450,/Home/Image/18055,205.20,200
SEP0058,FOLDING PVC DOOR 3FT X 7FT,DOOR WITH FRAME PVC BOTTOM LOUVER KR2,FOLDING PVC DOOR 3FT X 7FT [SC002 271],/Home/Image/18024,1998.00,200
SEP0059,FOLDING PVC DOOR 3FT X 7FT,DOOR WITH FRAME PVC PLAIN DESIGN,FOLDING PVC DOOR 3FT X 7FT [SC002 271],/Home/Image/18024,1998.00,200
SEP0060,FOLDING PVC DOOR 3FT X 7FT,ECO-DOOR HDF DOOR HFG15,FOLDING PVC DOOR 3FT X 7FT [SC002 271],/Home/Image/18024,1998.00,200
