code,name,details,specs,imageUrl,price,SOH
SEP0101,VG GUTTER R2 PIPE CONNECTOR PVC,VG GUTTER EZY ELBOW 30DEG PVC,VG GUTTER R2 PIPE CONNECTOR PVC CREAM [88592652 32051],/Home/Image/17401,37.80,200
SEP0102,VG GUTTER EZY ROUND PIPE PVC,VG GUTTER EZY STANDARD BRACKET PVC,VG GUTTER EZY ROUND PIPE 3''X3M PVC WHITE [88592652 31023],/Home/Image/17399,275.40,200
SEP0103,VG GUTTER EZY ROUND PIPE PVC,VG GUTTER R2 INVISIBLE HANGER BRACKET PVC,VG GUTTER EZY ROUND PIPE 3''X3M PVC WHITE [88592652 31023],/Home/Image/17399,275.40,200
SEP0104,VG GUTTER EZY ROUND PIPE PVC,VG GUTTER EZY END CAP PAIR PVC,VG GUTTER EZY ROUND PIPE 3''X3M PVC WHITE [88592652 31023],/Home/Image/17399,275.40,200
SEP0105,VG GUTTER EZY ROUND PIPE PVC,VG GUTTER EZY ELBOW 90DEG PVC,VG GUTTER EZY ROUND PIPE 3''X3M PVC WHITE [88592652 31023],/Home/Image/17399,275.40,200
SEP0106,VG GUTTER R2 ROUND PIPE PVC,VG GUTTER R2 INVISIBLE HANGER BRACKET PVC,VG GUTTER R2 ROUND PIPE 3''X3M PVC CREAM [88592652 32027],/Home/Image/17397,280.80,200
SEP0107,VG GUTTER R2 ROUND PIPE PVC,VG GUTTER R2 END CAP PAIR PVC,VG GUTTER R2 ROUND PIPE 3''X3M PVC CREAM [88592652 32027],/Home/Image/17397,280.80,200
SEP0108,VG GUTTER R2 ROUND PIPE PVC,VG GUTTER EZY PIPE CONNECTOR PVC,VG GUTTER R2 ROUND PIPE 3''X3M PVC CREAM [88592652 32027],/Home/Image/17397,280.80,200
SEP0109,VG GUTTER R2 ROUND PIPE PVC,VG GUTTER R2 ELBOW 90DEG PVC,VG GUTTER R2 ROUND PIPE 3''X3M PVC CREAM [88592652 32027],/Home/Image/17397,280.80,200
SEP0110,VG GUTTER EZY INSIDE CORNER 135DEG PVC,VG GUTTER R2 RAIN GUTTER,VG GUTTER EZY INSIDE CORNER 135DEG PVC WHITE [88592652 21130],/Home/Image/17395,172.80,200
