code,name,details,specs,imageUrl,price,SOH
SEP0251,HDF MOULDED DOOR 6 PANEL,AMIG METALLIC DOOR LOCK 770,HDF MOULDED DOOR 6P,/Home/Image/15559,1782.00,200
SEP0252,HDF MOULDED DOOR 6 PANEL,VANACHAI DOOR HDF/HONEY COMB 2MV2 2PANEL,HDF MOULDED DOOR 6P,/Home/Image/15559,1782.00,200
SEP0253,HDF MOULDED DOOR 6 PANEL,VANACHAI DOOR HDF/HONEY COMB ATG2,HDF MOULDED DOOR 6P,/Home/Image/15559,1782.00,200
SEP0254,HDF MOULDED DOOR 4P,WOODEN DOOR 5 PANEL,HDF MOULDED DOOR 4P,/Home/Image/15557,1803.60,200
SEP0255,HDF MOULDED DOOR 4P,WOODEN DOOR 8 PANEL,HDF MOULDED DOOR 4P,/Home/Image/15557,1803.60,200
SEP0256,HDF MOULDED DOOR 4P,PINE WOODEN DOOR MD10,HDF MOULDED DOOR 4P,/Home/Image/15557,1803.60,200
SEP0257,HDF MOULDED DOOR 4P,VANACHAI DOOR MELAMINE HDF/WOOD STRIP VM 10120 WHITE,HDF MOULDED DOOR 4P,/Home/Image/15557,1803.60,200
SEP0258,FLOOR SKIRTING PVC 10CM X 2.2METER,LITAFLEX  CASING,FLOOR SKIRTING PVC 10CM X 2.2M NO.DY100C-F81,/Home/Image/15533,216.00,200
SEP0259,FLOOR SKIRTING PVC 10CM X 2.2METER,AMIG ALUMINIUM DOOR HANDLE GAMMA EP. BLACK,FLOOR SKIRTING PVC 10CM X 2.2M NO.DY100C-F81,/Home/Image/15533,216.00,200
SEP0260,FLOOR SKIRTING PVC 10CM X 2.2METER,CROCODILE WALL PUTTY,FLOOR SKIRTING PVC 10CM X 2.2M NO.DY100C-F81,/Home/Image/15533,216.00,200
SEP0261,FLOOR SKIRTING PVC 10CM X 2.2METER,CROCODILE TILE SPACERS,FLOOR SKIRTING PVC 10CM X 2.2M NO.DY100C-F81,/Home/Image/15533,216.00,200
SEP0262,FLOOR SKIRTING PVC 7CM X 2.2METER,AMIG DOOR GUARD FASTENER 2,FLOOR SKIRTING PVC 7CM X 2.2M NO.DH70-701 GREY,/Home/Image/15528,162.00,200
SEP0263,FLOOR SKIRTING PVC 7CM X 2.2METER,AMIG DOOR STOPPER MOD.710,FLOOR SKIRTING PVC 7CM X 2.2M NO.DH70-701 GREY,/Home/Image/15528,162.00,200
SEP0264,FLOOR SKIRTING PVC 7CM X 2.2METER,STAR BRAND GYPSUM BOARD,FLOOR SKIRTING PVC 7CM X 2.2M NO.DH70-701 GREY,/Home/Image/15528,162.00,200
SEP0265,FLOOR SKIRTING PVC 7CM X 2.2METER,SS MINI HINGE 2'' XUNERTAI 2PCS,FLOOR SKIRTING PVC 7CM X 2.2M NO.DH70-701 GREY,/Home/Image/15528,162.00,200
SEP0266,FLOOR SKIRTING PVC 8CM X 2M WITH CABLE SLOT,CONDUIT ELBOW,,/Home/Image/15522,162.00,200
SEP0267,FLOOR SKIRTING PVC 8CM X 2M WITH CABLE SLOT,POLYWOOL MICROFIBER INSULATION - DOUBLE SIDE ALUMINIUM FOIL,,/Home/Image/15522,162.00,200
SEP0268,FLOOR SKIRTING PVC 8CM X 2M WITH CABLE SLOT,CROCODILE WALL PUTTY,,/Home/Image/15522,162.00,200
SEP0269,FLOOR SKIRTING PVC 8CM X 2M WITH CABLE SLOT,FLOOR SKIRTING PVC 7CM X 2.2METER,,/Home/Image/15522,162.00,200
SEP0270,METAL BARN DOOR RAIL WITH ACCESSORIES,ECO-DOOR FIBER GLASS DOOR 1PL WH,METAL BARN DOOR RAIL WITH ACCESSORIES,/Home/Image/14071,3132.00,200
SEP0271,METAL BARN DOOR RAIL WITH ACCESSORIES,AMIG VENT GOLD ALUMINUM MOD.3,METAL BARN DOOR RAIL WITH ACCESSORIES,/Home/Image/14071,3132.00,200
SEP0272,METAL BARN DOOR RAIL WITH ACCESSORIES,HDF MOULDED DOOR 6 PANEL,METAL BARN DOOR RAIL WITH ACCESSORIES,/Home/Image/14071,3132.00,200
SEP0273,METAL BARN DOOR RAIL WITH ACCESSORIES,PINE WOODEN DOOR FRAME,METAL BARN DOOR RAIL WITH ACCESSORIES,/Home/Image/14071,3132.00,200
SEP0274,YATO WALLBOARD SAW 150MM,YATO BOW SAW,YATO WALLBOARD SAW 150MM YT-3134,/Home/Image/13995,75.60,200
SEP0275,YATO WALLBOARD SAW 150MM,YATO COMPASS SAW,YATO WALLBOARD SAW 150MM YT-3134,/Home/Image/13995,75.60,200
SEP0276,YATO WALLBOARD SAW 150MM,VOREL HACK SAW FRAME  #27322,YATO WALLBOARD SAW 150MM YT-3134,/Home/Image/13995,75.60,200
SEP0277,YATO WALLBOARD SAW 150MM,IRWIN HAND SAW 18''  880 PLUS,YATO WALLBOARD SAW 150MM YT-3134,/Home/Image/13995,75.60,200
SEP0278,BUTTERFLY HINGE SS,BRASS HINGES,,/Home/Image/13989,81.00,200
SEP0279,BUTTERFLY HINGE SS,SS MINI HINGE 2'' XUNERTAI 2PCS,,/Home/Image/13989,81.00,200
SEP0280,BUTTERFLY HINGE SS,SS MINI HINGE 2 1/2'' XUNERTAI 2PCS,,/Home/Image/13989,81.00,200
SEP0281,BUTTERFLY HINGE SS,SS MINI HINGE 3'' XUNERTAI 2PCS,,/Home/Image/13989,81.00,200
SEP0282,3M MAT WITH HOLE,WOODEN BORDER,3M MAT WITH HOLE 1.2M WIDE BLUE,/Home/Image/13976,64.80,200
SEP0283,3M MAT WITH HOLE,SPC FLOORING,3M MAT WITH HOLE 1.2M WIDE BLUE,/Home/Image/13976,64.80,200
SEP0284,3M MAT WITH HOLE,LINOLIUM PVC FLOORING,3M MAT WITH HOLE 1.2M WIDE BLUE,/Home/Image/13976,64.80,200
SEP0285,3M MAT WITH HOLE,LINOLIUM PVC SPONGE FLOORING,3M MAT WITH HOLE 1.2M WIDE BLUE,/Home/Image/13976,64.80,200
SEP0286,STAR BRAND GYPSUM BOARD,SCG ELEPHANT GYPSUM BOARD,STAR BRAND GYPSUM BOARD 9MM 4' x 8',/Home/Image/13922,205.20,200
SEP0287,STAR BRAND GYPSUM BOARD,GYPSUM PLUG 8MM,STAR BRAND GYPSUM BOARD 9MM 4' x 8',/Home/Image/13922,205.20,200
SEP0288,STAR BRAND GYPSUM BOARD,GYPSUM JOINT TAPE JIA AN SHI DE BAO,STAR BRAND GYPSUM BOARD 9MM 4' x 8',/Home/Image/13922,205.20,200
SEP0289,STAR BRAND GYPSUM BOARD,CONDUIT JUNCTION BOX 20MM,STAR BRAND GYPSUM BOARD 9MM 4' x 8',/Home/Image/13922,205.20,200
SEP0290,SPC FLOORING,WOODEN BORDER,SPC FLOORING 1220 X 180 MM X 4MM THICK SHW6015,/Home/Image/13911,70.20,200
SEP0291,SPC FLOORING,3M MAT WITH HOLE,SPC FLOORING 1220 X 180 MM X 4MM THICK SHW6015,/Home/Image/13911,70.20,200
SEP0292,SPC FLOORING,LINOLIUM PVC FLOORING,SPC FLOORING 1220 X 180 MM X 4MM THICK SHW6015,/Home/Image/13911,70.20,200
SEP0293,SPC FLOORING,LINOLIUM PVC SPONGE FLOORING,SPC FLOORING 1220 X 180 MM X 4MM THICK SHW6015,/Home/Image/13911,70.20,200
SEP0294,HOT DIPPED WIRE MESH,WIRE MESH STEEL (3 FT X 30M),,/Home/Image/13875,1620.00,200
SEP0295,HOT DIPPED WIRE MESH,CHICKEN WIRE MESH GI 3/4'' x 3/4'' STEEL,,/Home/Image/13875,1620.00,200
SEP0296,HOT DIPPED WIRE MESH,GARDEN NET PVC COATED GREEN,,/Home/Image/13875,1620.00,200
SEP0297,HOT DIPPED WIRE MESH,HEXAGON NET PVC BLACK,,/Home/Image/13875,1620.00,200
SEP0298,CABINET DOOR WITH FRAME PVC,MEDCA MIRROR CABINET ALUMINIUM GREY COLOR L5-M,CABINET DOOR WITH FRAME PVC 60 X 40 CM STPV2 WHITE,/Home/Image/13367,788.40,200
SEP0299,CABINET DOOR WITH FRAME PVC,CONDUIT FEMALE ADAPTOR,CABINET DOOR WITH FRAME PVC 60 X 40 CM STPV2 WHITE,/Home/Image/13367,788.40,200
SEP0300,CABINET DOOR WITH FRAME PVC,CROCODILE PU FOAM,CABINET DOOR WITH FRAME PVC 60 X 40 CM STPV2 WHITE,/Home/Image/13367,788.40,200
